PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20130202;27;26;68707;Sucesso;26;172;7333;8;1019;0;0.560423247;0.217823511;0.221753242;0;38505;14966;15236;0;11;0;33;6590;3;4680;66;649
20130202;8;29;63704;Sucesso;16;118;4003;6;5404;0.009497049;0.232779731;0.393460379;0.364262841;605;14829;25065;23205;0;7;0;62;16121;3;1685;47;426
20130202;55;29;90964;Sucesso;24;139;11053;50;9315;0.264841036;0.070467438;0.333131788;0.331559738;24091;6410;30303;30160;0;22;0;86;20854;2;3222;90;730
20130202;16;31;45518;Sucesso;16;86;2010;2;677;0;0.325893053;0.245463333;0.428643614;0;14834;11173;19511;0;12;0;33;8955;2;5199;62;332
20130202;26;14;24542;Sucesso;7;34;2106;2;361;0.014302013;0;0.099706625;0.885991362;351;0;2447;21744;0;1;0;37;6234;2;3650;23;182
20130202;8;22;27231;ReprEvadiu;7;51;3348;0;300;0.418199846;0.012449047;0.095993537;0.47335757;11388;339;2614;12890;0;2;0;18;4085;1;526;25;164
20130202;12;26;46909;Sucesso;12;73;3706;19;7625;0.026093074;0.14447121;0.083374193;0.746061523;1224;6777;3911;34997;0;4;0;34;8656;2;1293;51;287
20130202;1;12;14803;Sucesso;8;43;0;0;885;0.070323583;0.131527393;0.12869013;0.669458893;1041;1947;1905;9910;0;0;0;14;4280;0;0;10;141
20130202;22;32;90012;Sucesso;14;109;5338;25;6435;0;0.202761854;0.254021686;0.54321646;0;18251;22865;48896;0;15;0;103;20746;3;8019;77;619
20130202;9;22;35153;ReprEvadiu;5;64;1630;6;2193;0;0.069524649;0.042898188;0.887577163;0;2444;1508;31201;0;5;0;15;3170;3;2207;26;419
20130202;42;19;70009;Sucesso;19;131;5479;33;4293;0;0.196031939;0.284406291;0.519561771;0;13724;19911;36374;0;3;0;48;14317;3;6919;84;488
20130202;17;26;43645;Sucesso;7;46;1626;0;1630;0;0.225226257;0.477832512;0.29694123;0;9830;20855;12960;0;7;0;53;8945;3;5375;39;277
